221, 91, 1032, -18, 15, -4
1755, -671, 1745, 0, 3, -2
-1224, 959, -2408, -2, -15, 10
184, -290, -251, 9, -12, 3
238, 395, 289, -19, 4, 0
-1193, 242, 554, 13, 12, -10
1668, -570, 293, -19, -13, -12
-126, 116, -1934, -7, -4, -7
-419, -229, 351, 26, -13, 6
702, -455, 1088, 5, 13, -6
-1105, 426, 1481, 3, 4, -2
435, 148, -1876, 12, -6, 3
309, -90, -661, -7, -5, 6
282, 99, 1063, 4, 5, -1
-626, -386, 455, -10, 5, -7
2469, 592, -715, -6, -21, -11
218, -697, -275, -44, 6, 4
-54, 248, -88, -1, 1, -4
13, -90, 116, 1, 1, -4
32, 26, 33, -1, 0, -1
18, 31, -48, 0, -1, -1
18, 2, 23, 0, 0, -1
26, -11, -11, 0, -1, 0
18, 44, 23, 2, -1, -1
-39, -25, 88, 1, -1, -1
10, 199, 526, 1, 1, -2
-920, -65, 369, -11, 9, -4
1731, -685, -635, -9, 4, 4
-475, 355, -1720, 13, -13, -4
46, 43, 366, -5, -1, 5
-432, 6, 654, -12, 13, -4
-927, -286, 883, 2, 3, -3
-697, 479, -2270, -21, -6, 5
735, -227, -143, -13, -1, 5
-440, 426, 963, -9, 7, 4
-539, -77, 480, -26, 18, -7
1021, 129, -1723, 16, -12, 11
-186, -184, -1204, 2, -2, -3
627, 461, 195, 4, -1, 1
-443, -124, 791, 2, 14, -6
-1090, 155, 1245, 6, 3, 2
16, 385, -2456, -37, -6, -2
273, 293, -497, -10, -6, 8
190, 30, 259, 2, 2, 2
-698, 116, 910, -11, 12, -6
-1207, -218, 565, 9, -5, -4
-1184, 52, -1553, 13, -14, 1
-506, -140, 454, 6, -6, 6
7, 211, 196, -5, -4, 0
29, -114, 178, 2, -2, 0
27, 33, 0, 0, 0, -1
27, -51, 27, 1, -1, 0
9, 32, -42, 0, -1, -1
-19, 7, 792, -10, 3, -2
-557, -270, 568, -2, 12, -5
1764, 32, -695, 22, -16, 15
268, -238, -1157, -8, -11, -4
-713, -24, 78, 8, -9, 11
271, 134, 1226, -11, 13, 3
-1963, 0, 1270, 0, 1, -1
633, 52, -2095, 11, -9, 6
130, -27, -797, 13, -14, -2
-72, 449, 22, 23, -2, 2
1185, -474, 1276, -19, 19, -7
-1069, -370, 846, 7, -2, 0
-334, 438, -2049, -2, 2, 5
-203, 241, -649, -8, -6, 3
103, 63, 636, 2, -1, 1
-754, -158, 687, -14, 6, -5
3287, -602, 495, -13, 10, -13
-4, -111, -1717, -5, 0, -5
-705, 145, 627, 13, -22, 10
828, -301, 1284, -41, 17, -3
-621, -333, 845, 13, -3, -2
-1246, 386, -2428, -16, -17, -3
757, -74, 171, 43, 0, 4
94, -287, 299, 2, -1, 4
-26, 206, 111, 3, 1, 0
0, -118, -20, 1, 2, -6
99, 65, 21, 1, -2, 0
31, -30, -1, -6, 2, -1
33, 1, -59, 1, -1, 0
8, -34, 63, 1, -1, -1
27, 6, 20, 1, 0, -1
13, 19, -47, -1, -1, -1
-3, -58, 8, 0, -1, -1
39, 5, 28, -2, -1, 0
50, 52, -38, -3, -1, -1
-12, -37, -13, -3, 0, 0
55, 42, -12, 0, -2, -1
70, -87, -18, 2, -1, 1
-9, 73, -7, -2, 0, 0
9, -35, 96, -3, -1, -2
7, -175, 290, -4, 3, 2
-387, -35, -25, -8, 15, -4
1589, -413, 704, 8, -11, -3
-700, 691, -2043, 15, -6, -10
94, 311, 389, -10, 4, 10
-816, -104, 612, -21, 19, -3
1607, -923, 425, 17, -13, -13
-247, 140, -1997, 13, 3, -9
680, 100, 349, 3, -4, 3
143, -247, 1179, -19, 14, 2
444, -380, 859, 13, 8, 1
-1384, 580, -1559, -14, -16, 5
248, 309, -347, -3, -2, 4
-74, -26, 987, -19, 15, 2
-631, -381, 937, 7, 0, -2
285, 684, -2340, -36, 4, -8
748, 125, 147, 3, -9, 10
-245, -245, 960, 9, 10, -2
-760, -476, -527, 9, -20, 0
-434, 1024, -1727, 2, -6, -18
259, 544, 128, -17, -6, -5
7, 135, 281, 21, 3, -1
37, -33, 167, -1, -1, 0
-60, -40, 130, 8, -3, 0
28, -97, 77, -2, 1, 0
36, 10, 132, 2, -1, 0
47, -31, 7, -1, 0, -1
